Institution,Category_Institution,Accreditation,DateEstablished,Region,Location,Province,Lecture,Student,Category_Total_Student,QS_WUR_Ranking_2024,QS_Asia_Ranking_2024,THE_WUR_Ranking_2024,Member_ASEAN_University_Network
Sekolah Tinggi Ilmu Kesehatan Sismadi,Sekolah,Tidak Terakreditasi,6/25/2008,4,Bogor,Jawa Barat,21,202,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Wijaya Husada Bogor,Sekolah,Baik Sekali,6/21/2005,4,Bogor,Jawa Barat,75,809,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Komputer El Rahma,Sekolah,Tidak Terakreditasi,5/8/2018,4,Bogor,Jawa Barat,12,249,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Manajemen Budi Bakti,Sekolah,Baik Sekali,1/28/2002,4,Bogor,Jawa Barat,38,627,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Tazkia,Sekolah,Tidak Terakreditasi,12/7/2023,4,Bogor,Jawa Barat,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Pariwisata Bogor,Sekolah,Baik Sekali,9/1/2009,4,Bogor,Jawa Barat,29,641,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,Sekolah,Baik,5/12/1998,4,Bogor,Jawa Barat,30,672,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Binaniaga Indonesia,Universitas,Baik,4/30/2020,4,Bogor,Jawa Barat,56,1857,Small,Unranked,Unranked,Unranked ,No
Universitas Djuanda,Universitas,Baik Sekali,3/21/1987,4,Bogor,Jawa Barat,240,6509,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Ibn Khaldun Bogor,Universitas,Baik Sekali,4/23/1961,4,Bogor,Jawa Barat,294,7936,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Bogor Raya,Universitas,Tidak Terakreditasi,12/1/2022,4,Bogor,Jawa Barat,55,1572,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Cileungsi,Universitas,Coming Soon ,,4,Bogor,Jawa Barat,32,457,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nusa Bangsa,Universitas,Baik,5/27/1982,4,Bogor,Jawa Barat,66,935,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Pakuan,Universitas,Baik Sekali,11/1/1980,4,Bogor,Jawa Barat,454,17146,Medium,Unranked,Unranked,Unranked ,No
Universitas Teknologi Nusantara,Universitas,Tidak Terakreditasi,9/21/2007,4,Bogor,Jawa Barat,56,1018,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Visi Nusantara Bogor,Institut,Tidak Terakreditasi,6/28/2021,4,Bogor ,Jawa Barat,18,0,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Bisnis Digital Indonesia,Politeknik,Tidak Terakreditasi,10/19/2023,4,Bogor ,Jawa Barat,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Ciamis,Sekolah,Baik Sekali,6/29/2006,4,Ciamis,Jawa Barat,58,1186,Small,Unranked,Unranked,Unranked ,No
Universitas Galuh,Universitas,Baik Sekali,7/21/1995,4,Ciamis,Jawa Barat,319,9427,Small Medium,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Cianjur,Sekolah,Tidak Terakreditasi,11/3/2021,4,Cianjur,Jawa Barat,12,261,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Permata Nusantara,Sekolah,Tidak Terakreditasi,2/8/2021,4,Cianjur,Jawa Barat,20,112,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Guna Nusantara,Sekolah,Tidak Terakreditasi,7/4/2011,4,Cianjur,Jawa Barat,20,984,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Putra Indonesia,Universitas,Baik,9/26/2001,4,Cianjur,Jawa Barat,56,951,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Suryakancana,Universitas,Baik Sekali,8/2/2001,4,Cianjur,Jawa Barat,149,3917,Small,Unranked,Unranked,Unranked ,No
Politeknik Krakatau,Politeknik,Tidak Terakreditasi,11/24/1997,4,Cilegon,Banten,30,218,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Analis Kimia Cilegon,Sekolah,Baik,1/29/2001,4,Cilegon,Banten,19,282,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Trimasda Cilegon,Sekolah,Tidak Terakreditasi,7/24/2014,4,Cilegon,Banten,29,192,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajamen Informatika dan Komputer Cilegon,Sekolah,Tidak Terakreditasi,3/15/1999,4,Cilegon,Banten,7,1,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Ilmu Komputer Insan Unggul,Sekolah,Baik,3/23/2003,4,Cilegon,Banten,28,495,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Al-Khairiyah,Universitas,Baik,12/30/2020,4,Cilegon,Banten,64,1850,Small,Unranked,Unranked,Unranked ,No
Universitas Mangku Wiyata,Universitas,Tidak Terakreditasi,1/10/2023,4,Cilegon,Banten,21,55,Extra Small,Unranked,Unranked,Unranked ,No
Institut Keguruan dan Ilmu Pendidikan Siliwangi,Institut,Baik Sekali,12/5/2017,4,Cimahi,Jawa Barat,180,8075,Small Medium,Unranked,Unranked,Unranked ,No
Politeknik TEDC,Politeknik,Baik,5/5/2001,4,Cimahi,Jawa Barat,94,1307,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Cimahi,Sekolah,Baik,6/2/2004,4,Cimahi,Jawa Barat,19,1000,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Budhi Luhur Cimahi,Sekolah,Baik Sekali,6/19/2006,4,Cimahi,Jawa Barat,44,995,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan RS Dustira,Sekolah,Baik,6/7/2022,4,Cimahi,Jawa Barat,35,625,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Pasundan,Sekolah,Baik Sekali,5/29/1986,4,Cimahi,Jawa Barat,107,3756,Small,Unranked,Unranked,Unranked ,No
Universitas Jenderal Achmad Yani,Universitas,Baik Sekali,5/12/1974,4,Cimahi,Jawa Barat,609,19221,Medium,Unranked,Unranked,Unranked ,No
Akademi Analis Kesehatan An-Nasher,Akademi,Baik,10/17/2003,4,Cirebon,Jawa Barat,9,202,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Graha Husada Cirebon,Akademi,Baik,12/13/2007,4,Cirebon,Jawa Barat,16,130,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Isma Husada Cirebon,Akademi,Baik,6/16/2005,4,Cirebon,Jawa Barat,6,9,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Buntet Pesantren,Akademi,Baik,9/1/1996,4,Cirebon,Jawa Barat,12,136,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Dharma Husada Cirebon,Akademi,Baik,7/1/1995,4,Cirebon,Jawa Barat,6,105,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Bumi Nusantara,Akademi,Tidak Terakreditasi,7/27/1990,4,Cirebon,Jawa Barat,12,154,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Maritim Cirebon,Akademi,Baik Sekali,2/8/1990,4,Cirebon,Jawa Barat,40,990,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Maritim Suaka Bahari,Akademi,Baik,12/26/1987,4,Cirebon,Jawa Barat,41,631,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata Yasmi,Akademi,Baik,12/23/1993,4,Cirebon,Jawa Barat,8,24,Extra Small,Unranked,Unranked,Unranked ,No
Institut Prima Bangsa,Institut,Baik Sekali,12/7/2021,4,Cirebon,Jawa Barat,44,1979,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Kesehatan Mahardika,Institut,Baik Sekali,1/12/2023,4,Cirebon,Jawa Barat,54,970,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kesehatan Bhakti Pertiwi Husada,Politeknik,Tidak Terakreditasi,12/26/2006,4,Cirebon,Jawa Barat,28,300,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Pariwisata Prima Internasional,Politeknik,Baik,10/30/2018,4,Cirebon,Jawa Barat,17,313,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Siber Cerdika Internasional,Politeknik,Tidak Terakreditasi,1/12/2023,4,Cirebon,Jawa Barat,14,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Cirebon,Sekolah,Baik Sekali,8/22/1996,4,Cirebon,Jawa Barat,31,312,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Yasmi,Sekolah,Baik,6/1/1999,4,Cirebon,Jawa Barat,21,589,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan An Nasher Cirebon,Sekolah,Baik,7/18/2014,4,Cirebon,Jawa Barat,17,121,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Cirebon,Sekolah,Baik,8/2/2001,4,Cirebon,Jawa Barat,82,3163,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Khas Kempek,Sekolah,Tidak Terakreditasi,5/17/2019,4,Cirebon,Jawa Barat,14,215,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Yayasan Lembaga Pendidikan Prada,Sekolah,Tidak Terakreditasi,8/26/2022,4,Cirebon,Jawa Barat,15,54,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Komputer Poltek Cirebon,Sekolah,Baik Sekali,8/2/2001,4,Cirebon,Jawa Barat,43,373,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer IKMI Cirebon,Sekolah,Baik,8/1/2000,4,Cirebon,Jawa Barat,42,2021,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer WIT Cirebon,Sekolah,Baik,5/27/2003,4,Cirebon,Jawa Barat,30,220,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Cirebon,Sekolah,Baik,3/4/1991,4,Cirebon,Jawa Barat,19,256,Extra Small,Unranked,Unranked,Unranked ,No
Universitas 17 Agustus 1945 Cirebon,Universitas,Baik Sekali,9/2/1962,4,Cirebon,Jawa Barat,90,1399,Small,Unranked,Unranked,Unranked ,No
Universitas Catur Insan Cendekia ,Universitas,Tidak Terakreditasi,10/10/2019,4,Cirebon,Jawa Barat,58,1222,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Ahmad Dahlan,Universitas,Coming Soon ,,4,Cirebon,Jawa Barat,68,1259,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Cirebon,Universitas,Baik Sekali,9/28/2000,4,Cirebon,Jawa Barat,200,7917,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Nahdlatul Ulama Cirebon,Universitas,Tidak Terakreditasi,9/16/2011,4,Cirebon,Jawa Barat,142,2884,Small,Unranked,Unranked,Unranked ,No
Universitas Swadaya Gunung Jati,Universitas,Baik Sekali,12/29/1962,4,Cirebon,Jawa Barat,408,12419,Medium,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Wahana Mandiri ,Akademi,Tidak Terakreditasi,9/28/2001,4,Depok,Jawa Barat,9,44,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kesehatan Genesis Medicare,Politeknik,Tidak Terakreditasi,9/9/2020,4,Depok,Jawa Barat,17,141,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Tiara Bunda,Politeknik,Baik,9/27/2019,4,Depok,Jawa Barat,34,566,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Fajar,Sekolah,Tidak Terakreditasi,6/19/1999,4,Depok,Jawa Barat,11,162,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Gici,Sekolah,Pembinaan,,4,Depok,Jawa Barat,,,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Hidayatullah Depok,Sekolah,Baik,1/6/2008,4,Depok,Jawa Barat,19,797,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,Sekolah,Baik,4/5/2021,4,Depok,Jawa Barat,57,1657,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum dan Politik Pelopor Bangsa,Sekolah,Tidak Terakreditasi,5/2/2019,4,Depok,Jawa Barat,41,1714,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Pelita Ilmu Depok,Sekolah,Tidak Terakreditasi,6/30/2020,4,Depok,Jawa Barat,26,151,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Raflesia,Sekolah,Tidak Terakreditasi,10/17/2014,4,Depok,Jawa Barat,17,232,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Arrahmaniyah,Sekolah,Baik,11/20/1998,4,Depok,Jawa Barat,83,4315,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Pendidikan Holistik Berbasis Karakter,Sekolah,Tidak Terakreditasi,9/6/2019,4,Depok,Jawa Barat,11,45,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Terpadu Nurul Fikri,Sekolah,Baik,8/13/2012,4,Depok,Jawa Barat,57,2183,Small,Unranked,Unranked,Unranked ,No
Universitas Global Jakarta,Universitas,Baik,7/7/2020,4,Depok,Jawa Barat,101,1623,Small,Unranked,Unranked,Unranked ,No
Akademi Komunitas Qurrota A'yun,Akademi,Tidak Terakreditasi,7/17/2019,4,Garut,Jawa Barat,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Garut,Akademi,Tidak Terakreditasi,3/13/1996,4,Garut,Jawa Barat,18,147,Extra Small,Unranked,Unranked,Unranked ,No
Institut Pendidikan Indonesia Garut,Institut,Baik Sekali,11/17/2017,4,Garut,Jawa Barat,129,3580,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Garut,Institut,Baik Sekali,7/1/2021,4,Garut,Jawa Barat,67,1604,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Hukum Garut,Sekolah,Baik Sekali,9/27/1986,4,Garut,Jawa Barat,20,582,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Yasa Anggana,Sekolah,Baik Sekali,11/16/2017,4,Garut,Jawa Barat,50,"2,803",Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Karsa Husada Garut,Sekolah,Baik Sekali,5/15/2006,4,Garut,Jawa Barat,70,1703,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan YPSDMI,Sekolah,Tidak Terakreditasi,11/12/2021,4,Garut,Jawa Barat,25,188,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Samudera Indonesia Selatan,Sekolah,Tidak Terakreditasi,12/28/2018,4,Garut,Jawa Barat,9,461,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Garut,Universitas,Baik Sekali,7/13/1999,4,Garut,Jawa Barat,265,8607,Small Medium,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Sayid Sabiq Indramayu,Akademi,Baik,11/30/2007,4,Indramayu,Jawa Barat,13,49,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Purnama Niaga,Akademi,Baik,11/30/2000,4,Indramayu,Jawa Barat,10,111,Extra Small,Unranked,Unranked,Unranked ,No
Institut Pangeran Dharma Kusuma ,Institut,Tidak Terakreditasi,9/13/2023,4,Indramayu,Jawa Barat,63,1989,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Petroleum Balongan,Institut,Baik,8/8/2022,4,Indramayu,Jawa Barat,55,946,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Aksari,Sekolah,Tidak Terakreditasi,7/27/2022,4,Indramayu,Jawa Barat,8,146,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Indramayu,Sekolah,Baik,7/8/2002,4,Indramayu,Jawa Barat,50,648,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al-Amin Indramayu,Sekolah,Baik,10/17/2014,4,Indramayu,Jawa Barat,32,737,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Darul Maarif Indramayu,Universitas,Coming Soon ,,4,Indramayu,Jawa Barat,29,1075,Small,Unranked,Unranked,Unranked ,No
Akademi Komunitas Toyota Indonesia,Akademi,Tidak Terakreditasi,12/4/2015,4,Karawang,Jawa Barat,12,94,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Insan Takazza,Politeknik,Coming Soon ,,4,Karawang,Jawa Barat,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Tri Mitra Karya Mandiri,Politeknik,Baik,12/5/1999,4,Karawang,Jawa Barat,38,260,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,Sekolah,Tidak Terakreditasi,9/5/2003,4,Karawang,Jawa Barat,16,468,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Pamitran,Sekolah,Tidak Terakreditasi,8/10/2000,4,Karawang,Jawa Barat,17,122,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Rosma,Sekolah,Baik,7/13/2000,4,Karawang,Jawa Barat,25,557,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknik Karawang,Sekolah,Tidak Terakreditasi,9/4/2002,4,Karawang,Jawa Barat,8,227,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Informatika Sony Sugema,Sekolah,Tidak Terakreditasi,8/2/2001,4,Karawang,Jawa Barat,34,1485,Small,Unranked,Unranked,Unranked ,No
Universitas Buana Perjuangan Karawang,Universitas,Baik Sekali,10/17/2014,4,Karawang,Jawa Barat,225,10043,Medium,Unranked,Unranked,Unranked ,No
Universitas Horizon Indonesia,Universitas,Tidak Terakreditasi,7/14/2023,4,Karawang,Jawa Barat,95,1258,Small,Unranked,Unranked,Unranked ,No
Universitas Sehati Indonesia,Universitas,Tidak Terakreditasi,7/14/2023,4,Karawang,Jawa Barat,16,146,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kesehatan KMC Kuningan,Politeknik,Tidak Terakreditasi,12/30/2021,4,Kuningan,Jawa Barat,14,33,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Kuningan,Sekolah,Baik Sekali,12/22/2006,4,Kuningan,Jawa Barat,78,1979,Small,Unranked,Unranked,Unranked ,No
Universitas Islam Al-Ihya Kuningan,Universitas,Baik,5/16/2014,4,Kuningan,Jawa Barat,101,1662,Small,Unranked,Unranked,Unranked ,No
Universitas Kuningan,Universitas,Baik Sekali,6/6/2003,4,Kuningan,Jawa Barat,186,6696,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Kuningan,Universitas,Coming Soon ,,4,Kuningan,Jawa Barat,86,2405,Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Yatna Yuana Lebak,Akademi,Baik,5/23/2001,4,Lebak,Banten,9,228,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Wira Nusantara,Akademi,Tidak Terakreditasi,8/10/2000,4,Lebak,Banten,7,103,Extra Small,Unranked,Unranked,Unranked ,No
Universitas La Tansa Mashiro,Universitas,Baik,1/13/2023,4,Lebak,Banten,88,1545,Small,Unranked,Unranked,Unranked ,No
Universitas Setia Budhi Rangkasbitung,Universitas,Baik ,2/6/2023,4,Lebak,Banten,68,2996,Small,Unranked,Unranked,Unranked ,No
Institut Budi Utomo Nasional,Institut,Baik,2/6/2023,4,Majalengka,Jawa Barat,22,776,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik MARDIRA Indonesia,Politeknik,Tidak Terakreditasi,5/28/2023,4,Majalengka,Jawa Barat,10,0,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Majalengka,Universitas,Baik Sekali,4/18/2006,4,Majalengka,Jawa Barat,189,5053,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Sindangkasih,Universitas,Coming Soon ,,4,Majalengka,Jawa Barat,62,711,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Yayasan Pendidikan Imam Bonjol Majalengka,Universitas,Baik,6/8/2022,4,Majalengka,Jawa Barat,80,2265,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Banten,Sekolah,Baik Sekali,7/8/2002,4,Pandeglang,Banten,61,1610,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Banten Raya,Sekolah,Baik,3/1/2004,4,Pandeglang,Banten,29,1092,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Babunnajah Pandeglang,Sekolah,Baik,10/17/2014,4,Pandeglang,Banten,30,1137,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Mutiara Banten,Sekolah,Baik,12/26/2012,4,Pandeglang,Banten,32,962,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Syekh Manshur,Sekolah,Baik,9/11/2014,4,Pandeglang,Banten,40,949,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Mathla ul Anwar,Universitas,Baik Sekali,8/12/2001,4,Pandeglang,Banten,161,4102,Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan RS Efarina,Akademi,Tidak Terakreditasi,1/26/2012,4,Purwakarta,Jawa Barat,6,107,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer YPAT,Akademi,Baik,2/15/1999,4,Purwakarta,Jawa Barat,10,126,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Al Muhajirin,Institut,Tidak Terakreditasi,2/17/2022,4,Purwakarta,Jawa Barat,7,0,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Bhakti Asih Purwakarta,Politeknik,Baik,3/14/2019,4,Purwakarta,Jawa Barat,51,1710,Small,Unranked,Unranked,Unranked ,No
Politeknik Perdana Mandiri,Politeknik,Baik,7/9/2003,4,Purwakarta,Jawa Barat,19,30,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Bisnis Perdana Mandiri,Sekolah,Baik,3/6/2009,4,Purwakarta,Jawa Barat,35,944,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,Sekolah,Baik,7/5/2001,4,Purwakarta,Jawa Barat,30,988,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Holistik,Sekolah,Baik,9/4/2012,4,Purwakarta,Jawa Barat,16,116,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Purwakarta,Sekolah,Baik,8/23/2013,4,Purwakarta,Jawa Barat,29,476,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Wastukancana,Sekolah,Baik,5/20/2000,4,Purwakarta,Jawa Barat,74,1799,Small,Unranked,Unranked,Unranked ,No
Universitas Islam Muttaqien,Universitas,Coming Soon ,,4,Purwakarta,Jawa Barat,54,1844,Small,Unranked,Unranked,Unranked ,No
Universitas Kartamulia Purwakarta,Universitas,Tidak Terakreditasi,10/16/2019,4,Purwakarta,Jawa Barat,22,64,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Enjinering Indorama,Politeknik,Tidak Terakreditasi,7/18/2013,4,Purwakarta ,Jawa Barat,25,328,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Bina Husada Serang,Akademi,Baik,8/3/2007,4,Serang,Banten,15,60,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Serang,Akademi,Baik,6/10/1992,4,Serang,Banten,9,177,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Banten,Institut,Baik,6/8/2022,4,Serang,Banten,30,644,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kesehatan Aisyiyah Banten,Politeknik,Baik Sekali,10/12/2018,4,Serang,Banten,28,202,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik PGRI Banten,Politeknik,Baik,9/5/2003,4,Serang,Banten,31,450,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Piksi Input Serang,Politeknik,Baik,8/2/2001,4,Serang,Banten,34,756,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Zanjabila Banten,Politeknik,Tidak Terakreditasi,9/6/2022,4,Serang,Banten,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,Sekolah,Baik,10/19/1983,4,Serang,Banten,7,376,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Dwimulya,Sekolah,Baik,2/11/2009,4,Serang,Banten,25,1135,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Salsabila Serang,Sekolah,Baik,2/2/2018,4,Serang,Banten,30,779,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Situs Banten di Serang,Sekolah,Baik,2/27/2014,4,Serang,Banten,23,659,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Fatahillah Cilegon,Sekolah,Baik,9/4/2002,4,Serang,Banten,28,208,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Banten,Universitas,Tidak Terakreditasi,7/14/2022,4,Serang,Banten,51,960,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Banten Jaya,Universitas,Baik,8/2/2011,4,Serang,Banten,112,3086,Small,Unranked,Unranked,Unranked ,No
Universitas Bestari,Universitas,Baik,12/8/2022,4,Serang,Banten,66,594,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Bina Bangsa,Universitas,Baik,10/2/2017,4,Serang,Banten,389,10831,Medium,Unranked,Unranked,Unranked ,No
Universitas Faletehan,Universitas,Baik,8/9/2019,4,Serang,Banten,136,3785,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Banten,Universitas,Baik,7/8/2020,4,Serang,Banten,54,469,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Primagraha,Universitas,Pembinaan,,4,Serang,Banten,,,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Serang Raya,Universitas,Baik Sekali,12/23/2008,4,Serang,Banten,222,6694,Small Medium,Unranked,Unranked,Unranked ,No
